lam,r,g,b,a,c,l
572,5.772E-04,1.208E-02,1.663E-03,1.328E-01,1.343E-03,2.501E-01
573,7.102E-04,1.126E-02,1.682E-03,1.364E-01,1.281E-03,2.488E-01
574,8.141E-04,1.048E-02,1.638E-03,1.401E-01,1.203E-03,2.474E-01
575,9.262E-04,9.754E-03,1.580E-03,1.439E-01,1.125E-03,2.460E-01
576,1.058E-03,9.073E-03,1.519E-03,1.478E-01,1.048E-03,2.446E-01
577,1.218E-03,8.441E-03,1.464E-03,1.516E-01,9.772E-04,2.431E-01
578,1.440E-03,7.872E-03,1.460E-03,1.556E-01,9.312E-04,2.416E-01
579,1.702E-03,7.348E-03,1.471E-03,1.595E-01,8.914E-04,2.400E-01
580,2.003E-03,6.863E-03,1.490E-03,1.635E-01,8.525E-04,2.383E-01
581,2.343E-03,6.411E-03,1.510E-03,1.674E-01,8.104E-04,2.366E-01
582,2.698E-03,5.971E-03,1.508E-03,1.713E-01,7.338E-04,2.347E-01
583,3.098E-03,5.558E-03,1.504E-03,1.750E-01,6.547E-04,2.327E-01
584,3.556E-03,5.176E-03,1.502E-03,1.787E-01,5.832E-04,2.307E-01
585,4.081E-03,4.824E-03,1.504E-03,1.824E-01,5.270E-04,2.285E-01
586,4.696E-03,4.510E-03,1.522E-03,1.859E-01,5.240E-04,2.264E-01
587,5.394E-03,4.228E-03,1.548E-03,1.894E-01,5.429E-04,2.241E-01
588,6.179E-03,3.978E-03,1.582E-03,1.927E-01,5.759E-04,2.218E-01
589,7.054E-03,3.757E-03,1.622E-03,1.959E-01,6.177E-04,2.195E-01
590,8.021E-03,3.582E-03,1.681E-03,1.990E-01,6.643E-04,2.170E-01
591,9.089E-03,3.431E-03,1.742E-03,2.019E-01,7.093E-04,2.144E-01
592,1.026E-02,3.293E-03,1.801E-03,2.046E-01,7.470E-04,2.118E-01
593,1.155E-02,3.160E-03,1.851E-03,2.072E-01,7.716E-04,2.091E-01
594,1.292E-02,3.009E-03,1.876E-03,2.096E-01,7.568E-04,2.063E-01
595,1.443E-02,2.851E-03,1.885E-03,2.117E-01,7.235E-04,2.034E-01
596,1.610E-02,2.686E-03,1.878E-03,2.137E-01,6.778E-04,2.004E-01
597,1.797E-02,2.513E-03,1.857E-03,2.155E-01,6.232E-04,1.974E-01
598,2.005E-02,2.301E-03,1.797E-03,2.171E-01,5.578E-04,1.945E-01
599,2.237E-02,2.086E-03,1.726E-03,2.186E-01,4.920E-04,1.915E-01
600,2.499E-02,1.884E-03,1.657E-03,2.199E-01,4.323E-04,1.886E-01
601,2.794E-02,1.706E-03,1.598E-03,2.211E-01,3.845E-04,1.857E-01
602,3.126E-02,1.613E-03,1.588E-03,2.223E-01,3.792E-04,1.828E-01
603,3.498E-02,1.557E-03,1.599E-03,2.234E-01,3.914E-04,1.801E-01
604,3.913E-02,1.521E-03,1.623E-03,2.244E-01,4.124E-04,1.774E-01
605,4.374E-02,1.496E-03,1.656E-03,2.253E-01,4.374E-04,1.747E-01
606,4.877E-02,1.461E-03,1.697E-03,2.262E-01,4.538E-04,1.721E-01
607,5.434E-02,1.423E-03,1.740E-03,2.269E-01,4.658E-04,1.696E-01
608,6.053E-02,1.379E-03,1.778E-03,2.275E-01,4.728E-04,1.671E-01
609,6.740E-02,1.325E-03,1.807E-03,2.280E-01,4.733E-04,1.646E-01
610,7.498E-02,1.239E-03,1.811E-03,2.284E-01,4.600E-04,1.621E-01
611,8.337E-02,1.141E-03,1.799E-03,2.286E-01,4.381E-04,1.597E-01
612,9.266E-02,1.039E-03,1.772E-03,2.286E-01,4.091E-04,1.573E-01
613,1.029E-01,9.385E-04,1.731E-03,2.285E-01,3.737E-04,1.548E-01
614,1.142E-01,8.438E-04,1.652E-03,2.281E-01,3.183E-04,1.524E-01
615,1.267E-01,7.601E-04,1.565E-03,2.276E-01,2.615E-04,1.499E-01
616,1.404E-01,6.924E-04,1.483E-03,2.269E-01,2.129E-04,1.473E-01
617,1.556E-01,6.456E-04,1.418E-03,2.260E-01,1.798E-04,1.448E-01
618,1.723E-01,6.603E-04,1.428E-03,2.250E-01,2.094E-04,1.422E-01
619,1.907E-01,6.972E-04,1.465E-03,2.237E-01,2.591E-04,1.397E-01
620,2.107E-01,7.401E-04,1.510E-03,2.222E-01,3.124E-04,1.371E-01
621,2.325E-01,7.781E-04,1.551E-03,2.205E-01,3.586E-04,1.345E-01
622,2.562E-01,7.689E-04,1.547E-03,2.187E-01,3.451E-04,1.318E-01
623,2.818E-01,7.406E-04,1.527E-03,2.166E-01,3.134E-04,1.292E-01
624,3.093E-01,7.008E-04,1.498E-03,2.144E-01,2.777E-04,1.265E-01
625,3.388E-01,6.526E-04,1.463E-03,2.120E-01,2.460E-04,1.239E-01
626,3.709E-01,5.918E-04,1.429E-03,2.095E-01,2.555E-04,1.212E-01
627,4.049E-01,5.305E-04,1.396E-03,2.068E-01,2.779E-04,1.185E-01
628,4.404E-01,4.759E-04,1.367E-03,2.040E-01,3.041E-04,1.159E-01
629,4.772E-01,4.344E-04,1.345E-03,2.012E-01,3.289E-04,1.133E-01
630,5.165E-01,4.471E-04,1.347E-03,1.983E-01,3.374E-04,1.107E-01
631,5.563E-01,4.767E-04,1.357E-03,1.954E-01,3.371E-04,1.082E-01
632,5.954E-01,5.085E-04,1.368E-03,1.926E-01,3.288E-04,1.057E-01
633,6.329E-01,5.329E-04,1.375E-03,1.897E-01,3.122E-04,1.034E-01
634,6.691E-01,5.188E-04,1.381E-03,1.869E-01,2.799E-04,1.011E-01
635,7.017E-01,4.837E-04,1.372E-03,1.842E-01,2.398E-04,9.897E-02
636,7.291E-01,4.310E-04,1.339E-03,1.815E-01,1.956E-04,9.686E-02
637,7.501E-01,3.610E-04,1.273E-03,1.788E-01,1.498E-04,9.479E-02
638,7.609E-01,2.414E-04,1.101E-03,1.761E-01,1.159E-04,9.269E-02
639,7.632E-01,1.133E-04,8.987E-04,1.734E-01,8.275E-05,9.059E-02
640,7.568E-01,0.000E+00,6.965E-04,1.707E-01,4.655E-05,8.854E-02
641,7.414E-01,0.000E+00,5.165E-04,1.679E-01,5.024E-06,8.653E-02
642,7.128E-01,0.000E+00,4.529E-04,1.652E-01,0.000E+00,8.462E-02
643,6.757E-01,0.000E+00,4.358E-04,1.625E-01,0.000E+00,8.275E-02
644,6.319E-01,3.781E-05,4.457E-04,1.597E-01,0.000E+00,8.094E-02
645,5.831E-01,1.050E-04,4.724E-04,1.569E-01,0.000E+00,7.917E-02
646,5.299E-01,1.081E-04,4.834E-04,1.541E-01,0.000E+00,7.743E-02
647,4.745E-01,9.727E-05,4.971E-04,1.512E-01,0.000E+00,7.572E-02
